type, name, nameZh, portion, unit, weight, calorie
bread_cakes_pastries, Danish pastry, 丹麥條, 1, piece-alt-2, 112, 426
bread_cakes_pastries, Egg tart, 蛋撻, 1, piece, 70, 217
bread_cakes_pastries, Curry puff, 咖喱酥皮卷, 1, piece-alt-2, 70, 280
chinese_dim_sum, Steamed barbecued pork bun, 叉燒包, 1, piece-alt-2, 55, 143
chinese_dim_sum, Steamed egg custard bun, 奶黃包, 1, piece-alt-2, 47, 118
chinese_dim_sum, Steamed lotus seed paste and egg york bun, 蛋黃蓮蓉包, 1, piece-alt-2, 55, 165
chinese_dim_sum, Steamed vegetable and meat bun, 菜肉包, 1, piece-alt-2, 79, 182
chinese_dim_sum, Deep-fried Chinese bun, 炸饅頭, 1, piece-alt-2, 66, 277
chinese_dim_sum, Steamed bean curd with beef ball, 山竹牛肉, 1, piece-alt-2, 49, 88
chinese_dim_sum, Steamed fresh prawn dumpling, 蝦餃, 1, piece-alt-2, 31, 50
chinese_dim_sum, Steamed stuffed dumpling with shrimp, 燒賣, 1, piece-alt-2, 29, 58
chinese_dim_sum, Steamed pork dumpling (Shanghai style), 小籠包, 1, piece-alt-2, 37, 85
chinese_dim_sum, Steamed vegetarian dumpling, 上素蒸粉果, 1, piece-alt-2, 43, 47
chinese_dim_sum, Steamed dumpling (Chiuchow style), 潮州粉果, 1, piece-alt-2, 61, 92
chinese_dim_sum, Steamed rice-flour roll, 豬腸粉, 1, piece-alt, 57, 63
chinese_dim_sum, Steamed rice-flour roll with beef, 牛肉腸粉, 1, piece-alt, 80, 80
chinese_dim_sum, Sticky rice wrapped in lotus leaf, 糯米雞, 1/4, piece-alt-2, 85, 179
chinese_dim_sum, Steamed bean curd sheet roll, 鮮竹卷, 1, piece-alt-2, 56, 146
chinese_dim_sum, Steamed bean curd sheet roll with chicken, 雞扎, 1, piece-alt-2, 86, 146
chinese_dim_sum, Pan-fried turnip cake, 煎蘿蔔糕, 1, piece-alt-2, 84, 109
chinese_dim_sum, Deep-fried taro dumpling, 芋角, 1, piece-alt-2, 40, 144
chinese_dim_sum, Spring roll, 春卷, 1, piece-alt-2, 35, 112
chinese_dim_sum, Deep-fried meat dumpling, 鹹水角, 1, piece-alt-2, 45, 149
chinese_dim_sum, Barbecued pork puff pastry, 叉燒酥, 1, piece-alt-2, 39, 168
snacks, Dry-roasted plain macadamia nuts, 乾焗原味夏威夷果仁, 12, kernel, 28, 204
snacks, Dry-roasted plain almond, 乾焗原味杏仁, 22, kernel, 28, 170
snacks, Dry-roasted plain peanut, 乾焗原味花生, 28, kernel, 28, 166
snacks, Nougat, 鳥結糖, 1, candy, 12, 52
snacks, Hard candy, 硬糖, 1, candy, 6, 24
snacks, Milk chocolate, 牛奶朱古力, 1, bar, 7, 37
snacks, Ice cream, 雪糕, 1, scoop, 73, 131
snacks, Curry fish ball, 咖喱魚蛋, 5, ball, 50, 65
snacks, Popcorn (popped), 爆谷（熟）, 1/2, bag, 83, 415
other_ready_to_eat_foods, Cream soup with puff pastry, 酥皮忌廉湯, 1, bowl, 315, 410
other_ready_to_eat_foods, Deep-fried Chinese dough sticks, 油炸鬼, 1, piece-alt, 110, 506
other_ready_to_eat_foods, Sweet Chinese doughnut, 牛脷酥, 1, piece-alt, 141, 522
other_ready_to_eat_foods, Mango pudding, 芒果布甸, 1, portion, 183, 168
other_ready_to_eat_foods, Coconut milk yellow bean pudding, 椰汁馬豆糕, 1, piece-alt, 85, 111
other_ready_to_eat_foods, Red bean sweet soup, 紅豆沙, 1, bowl, 239, 225
other_ready_to_eat_foods, Sesame sweet soup, 芝麻糊, 1, bowl, 289, 280
drinks, Full-fat milk, 全脂奶, 1, cup, 240, 146
drinks, Low-fat milk, 低脂奶, 1, cup, 240, 101
drinks, Skimmed milk, 脫脂奶, 1, cup, 240, 82
drinks, Milk shake, 奶昔, 1, cup, 300, 330
drinks, Iced milk tea with pearl tapioca, 凍珍珠奶茶, 1, cup, 300, 195
drinks, Iced lemon tea, 凍檸檬茶, 1, cup, 300, 138
drinks, Red bean icy drink, 紅豆冰, 1, cup, 300, 243
drinks, Hong Kong style milk tea (no sugar added), 港式奶茶（不加糖）, 1, cup, 240, 106
drinks, Hong Kong style coffee (no sugar added), 港式咖啡（不加糖）, 1, cup, 240, 98
drinks, Brewed coffee (without milk and no sugar added), 即磨咖啡（不加奶和糖）, 1, cup, 240, 2
drinks, Tea, 清茶, 1, cup, 240, 2
drinks, Sweetened soybean milk, 甜豆漿, 1, cup, 240, 98
drinks, Hot lemon honey, 熱檸蜜, 1, cup, 240, 94
drinks, Five flower tea, 五花茶, 1, cup, 240, 70
drinks, Sour plum drink, 酸梅湯, 1, cup, 240, 118
drinks, Fresh orange juice, 鮮榨橙汁, 1, cup, 240, 108
drinks, Cola, 可樂, 1, can, 330, 122
fat_and_oils, Olive oil, 橄欖油, 1, tablespoon, 14, 126
fat_and_oils, Canola oil, 芥花籽油, 1, tablespoon, 14, 126
fat_and_oils, Peanut oil, 花生油, 1, tablespoon, 14, 126
fat_and_oils, Butter, 牛油, 1, tablespoon, 14, 104
fat_and_oils, Sesame seed dressing, 芝麻沙律醬, 1, tablespoon, 15, 66
fat_and_oils, Light mayonnaise, 輕怡蛋黃醬, 1, tablespoon, 15, 36
others, Ginger puree, 薑蓉, 1, tablespoon, 18, 85
others, Oyster sauce, 蠔油, 1, tablespoon, 18, 15
others, Jam, 果醬, 1, tablespoon, 20, 56
others, Peanut butter, 花生醬, 1, tablespoon, 16, 96
others, Honey, 蜜糖, 1, tablespoon, 21, 64
